eventId,date,duration,position,radius,userNumber,tweetsNumber,importantHashtags
da585f59-11f9-4605-be16-7aae6df6c57f,2015-07-21 13:27:00,35700,-74.2207272527;40.9688026183,383826.28,99,186,#job|#hiring|#jobs|#tweetmyjobs|#sales|#retail|#hospitality|#woodbridge|#veterans|#nonprofit|#nettempsjobs|#art|#education|#healthcare|#clerical|#accounting|#albany|#businessmgmt|#manufacturing|#bronx|#music|#internship|#nursing|#skilledtrade|#virtualnjcity|#hackensack|#rhlegaljobs|#opensource|#labor|#legal|#cfgjobs|#projectmgmt|#it|#marketing|#ewing|#recruiting|#customerservice|#pharmaceutical|#utilities|#security|#kellyservices|#cooperstown|#phelps|#actuarial|#clyde|#teaneck|#kellyjobs|#lxkcareers|#qa|#virtualnycity|#airlines|#investmentbanking|#aerospace|#bayside|#generalscience|#hoboken|#database|#socialmedia|#traffic|#rhmrjobs|#oswego|#government|#jeffersonville|#rogallery|#spraypaint|#trumansburg|#bergenhudsoncounty|#woolwichtownship|#design|#bilingual|#inc|#streetart|#dresden|#yardville|#parttime|#definedbenefits|#mayslanding|#auctioneer|#workathome|#interpreter|#rochester|#northbergen|#floralpark|#engineering|#typography|#woodside|#laguardia|#restaurantjobs|#clinicaltrial|#underwriting|#urbanart|#avenel|#allstatejobs|#queens|#folsom|#southernalbany|#longislandcity|#greene|#ridgefieldpark|#newjersey|#insurance|#warren|#englewoodcliffs|#banking|#madison|#monroetownship|#socialsciences|#longisland|#skillman|#graffiti|#flushing|#auction|#lunch|#green|#rockawaypark|#onlineauction|#insideconde|#product|#microsoft|#yourenotyouwhenyourehungry|#pilesgrove|#supplychain|#ridgefield|#hudson|#fortlee|#jefferson|#newyorkus|#artauction|#tags
596c2a3c-df41-45b2-a553-a8997ee4c18e,2015-07-21 11:32:00,24540,-74.1391954655;40.8191841379,408229.74,35,58,#job|#hiring|#jerseycity|#jobs|#tweetmyjobs|#veterans|#it|#finance|#sales|#retail|#accounting|#businessmgmt|#facilitiesmgmt|#nettempsjobs|#customerservice|#investmentbanking|#hospitality|#socialsciences|#simon|#construction|#milspouse|#transportation|#insurance|#art|#projectmgmt|#pharmaceutical|#astoria|#writing|#rhmrjobs|#productmgmt|#bronx|#timmins|#education|#tintonfalls|#madison|#database|#music|#physician|#purchasing|#nursing|#qa|#webdesign|#parttime
fa34ee49-2824-41ad-8ef3-e0957f283eed,2015-07-21 10:33:00,28140,-77.6119475455;43.1589141636,2728.95,25,55,#rochester|#job|#hiring|#jobs|#tweetmyjobs|#engineering|#nursing|#customerservice|#healthcare|#accounting|#businessmgmt|#aerospace|#kellyservices|#it|#kellyjobs|#supplychain|#nettempsjobs|#marketing|#clerical|#manufacturing|#construction|#transportation|#recruiting|#finance|#government|#energy|#banking|#education|#microsoft|#cfgjobs|#skilledtrade|#sales|#security
5d651b6e-2f7f-4689-9dfe-b10bdd523ed7,2015-07-21 17:55:00,34080,-73.9171317692;40.7870530577,182821.84,39,52,#manhattan|#art|#summer|#fashion|#summerofbyron|#artwork|#nycart|#menswear|#yourdon|#pucci|#bryantpark|#nycartist|#now|#artist|#instagramnyc|#exhibition|#midtown|#world|#streetart|#tuesday|#summerofart|#here|#harlem|#vintage|#siasummer|#furniture|#nypix|#woolmarkprize|#style|#capital|#hamptons|#vladanikiforova|#luxury|#beach|#mycommute|#artgallery|#nailstagtam|#tanster|#photo|#happy|#pushpush|#photoshoot|#sister|#rosariop|#stunning|#starbucks|#downtown|#nailswag|#moda|#owo|#nypride|#officewall|#cadet|#petportrait|#stpetersburg|#newyorkers|#jgoldcrown|#gelato|#nailsdesign|#tomatoes|#lunchdate|#iloveny|#museum|#2015|#killing|#soho|#nailstech|#vintagegirls|#oneofakind|#wtc|#plums|#yellow|#holidays|#coffee|#easthampton|#mensfashion|#rooseveltisland|#democracy|#travelgram|#wanderlust|#danspapers|#comtemporaryart|#summer2015|#designer|#paintings|#snapseed|#mint|#goodtimes|#day1|#architecture|#friends|#southampton|#thecity|#vacation|#nailpics|#conscious|#clouds|#usa|#dope|#nailed|#kunst|#kugey|#sothebys|#berry|#me|#model|#italianice|#avettbrothers|#streetstyle|#eastriver|#craftwomanship|#wineberry|#watercolor|#bleedinghearts|#newyorkfuckingcity|#kids|#explore|#vscocam|#cityliving|#frappe|#wallofart|#juryduty|#mallorca|#fun|#fbloggers|#bloggerslife|#vibes|#malemodel|#valigiaaduepiazze|#portrait|#lovewall|#gpscarlosmelianewyork|#lovely|#adventure|#1967cam|#fitfam|#shoplocal|#green|#travelcurator|#america|#musthave|#malefashion|#milkstudios|#laugh|#dance|#buildings|#sadgirl|#blueskies|#lifestyle|#photographer|#hot|#travel|#hiring|#fit|#1wtc|#fresh|#gramercytavern|#vintagestore|#men|#potatoes|#job|#westvillage|#photogtapher|#seoul|#1nspired|#newarrival|#bigapple|#security|#farmersmarket
b7effcb4-8db0-4486-aba8-8b37efdc774c,2015-07-21 13:00:00,37680,-74.0318875676;42.3880707838,99251.35,23,37,#job|#albany|#hiring|#tweetmyjobs|#jobs|#it|#veterans|#engineering|#cfgjobs|#businessmgmt|#transportation|#retail|#warren|#accounting|#rhmrjobs|#nursing|#banking|#skilledtrade|#healthcare|#green|#realestate|#recruiting|#investmentbanking|#hospitality|#rue21|#manufacturing|#hoffmanestates|#owneroperator|#thinkgreen|#sales|#lawrencetownship
23276572-7ccf-4690-88f1-bcd1f1bdc85b,2015-07-21 17:56:00,46560,-74.1576356154;40.9321813846,176386.76,10,13,#veterans|#job|#hiring|#jobs|#hospitality|#labor|#it|#sales|#supplychain|#parttime|#taberg|#tweetmyjobs|#paramus|#diversity|#projectmgmt|#opensource|#healthcare|#security|#retail|#northbergen
29772bd1-c200-4f62-a9d2-35657f3e8ee6,2015-07-21 17:53:00,17520,-74.1829342727;40.5316271818,79535.79,7,11,#job|#retail|#hiring|#tweetmyjobs|#jackson|#jobs|#manahawkin|#hospitality|#albany|#nursing
55363c38-8f27-44e9-ab1c-39742134c04c,2015-07-21 21:35:00,5280,-73.9414408889;40.7326313333,22832.1,9,9,#manhattan|#summer|#night|#popsicles|#tuesday|#nycfun|#balcony|#boy|#style|#life|#empirestate|#improvolution|#new|#stuytown|#sunny|#lights|#bombshells|#veggie|#man|#summerstorms|#heraldsquare|#photooftheday|#greatday|#thunder|#summertime|#instagramers|#storms|#improv|#followme|#followyou|#flight|#nycity|#picoftheday|#photography|#newyorkstate|#smile|#lightning|#ilovenyc|#goodtimes|#streetlight|#qwerrkout|#delta|#friends|#dinner|#parkavenue|#summer2015
08116f0b-cce4-4ac8-bddc-6dfde25353da,2015-07-21 18:09:00,40080,-74.0455412857;41.214878,147267.66,4,7,#sales|#job|#hiring|#jobs|#tweetmyjobs|#hoosick|#any|#woolwichtownship|#morristown|#f1stravel|#happyhour|#letscommune|#thehallsouthbeach|#travel
f863a650-10ce-49e4-bf13-3969c65cb065,2015-07-21 11:20:00,8580,-73.96592325;40.77778725,4634.11,4,4,#fashion|#lifestyle|#dapper|#125th|#girls|#new|#luxury|#mensfashion|#gentleman|#boys|#losangeles|#jacket|#style|#harlem|#nyfwm|#hsn|#catchny|#black|#newyorkfashion
