eventId,date,duration,position,radius,userNumber,tweetsNumber,importantHashtags
75e85a63-525d-4d9b-bfd6-4ed7127fb398,2015-07-21 14:14:00,31440,-74.4249382195;41.0294649268,359207.46,7,41,#job|#hiring|#tweetmyjobs|#jobs|#nonprofit|#construction|#veterans|#rochester|#bronx|#engineering|#nowhiring|#it|#sales|#rhlegaljobs|#clerical|#retail|#opensource|#utilities|#legal|#jerseycity|#tintonfalls|#projectmgmt|#hoboken|#businessmgmt|#finance|#bayside|#media
15307728-569d-49eb-a065-56e437412a5b,2015-07-21 13:57:00,46020,-74.7184452727;41.0596866364,325911.33,5,11,#job|#hiring|#tweetmyjobs|#jobs|#retail|#clerical|#rochester|#jackson|#rhlegaljobs|#weehawken|#construction|#engineering|#nettempsjobs|#kellyservices|#utilities|#kellyjobs
446f812b-80c5-416a-8dc9-b6c79c830205,2015-07-22 13:33:00,32100,-74.21105578;40.77298646,383885.28,7,50,#job|#hiring|#tweetmyjobs|#jobs|#woodbridge|#sales|#it|#bronx|#facilitiesmgmt|#art|#warren|#construction|#nettempsjobs|#veterans|#businessmgmt|#clerical|#milspouse|#customerservice|#rochester|#energy|#mahwah|#englewood|#healthcare|#lifeinspiringcareers|#utilities|#media|#hoboken
03284cad-2b9d-4ed5-8476-6662fe06388f,2015-07-23 09:38:00,16620,-74.1931874545;40.6917561818,25307.54,4,22,#job|#hiring|#careerarc|#jobs|#woodbridge|#it|#sales|#art|#teaneck|#veterans|#jerseycity|#madison|#purchasing|#hr
6291be36-a100-4933-ad68-85a155bff79c,2015-07-23 14:37:00,27240,-74.0393313333;40.7615373333,8176.13,3,9,#job|#sales|#hiring|#milspouse|#hoboken|#veterans|#jerseycity|#careerarc|#fortlee|#jobs|#art|#security|#ridgefieldpark
45f891c6-4ef4-4462-8519-b5aa3b2e6840,2015-07-24 13:41:00,29040,-73.9923184074;40.7549529259,23629.71,5,27,#job|#hiring|#jobs|#retail|#careerarc|#veterans|#jerseycity|#construction|#sales|#bayside|#security|#nowhiring|#energy|#purchasing|#education|#finance|#hackensack|#it
ab3c367f-1083-467c-8db1-182ec10e4f9d,2015-07-25 09:20:00,22620,-74.0193834419;40.7329097907,82344.8,8,43,#job|#hiring|#careerarc|#jobs|#internship|#retail|#marketing|#hospitality|#bronx|#hoboken|#rhmrjobs|#astoria|#healthcare|#accounting|#manhattan|#andover|#edgewater|#jacksonheights|#chesterfield|#teaneck|#southhampton|#socialmedia|#ny|#queens|#utilities|#media
a42bbcec-a979-425d-886e-a13fa4fb4e39,2015-07-26 17:02:00,28260,-74.2128585;40.98560725,225440.81,6,20,#job|#hiring|#careerarc|#jobs|#rhlegaljobs|#jerseycity|#legal|#veterans|#art|#productmgmt|#sales|#education|#transportation|#retail|#albany|#pulaski|#healthcare|#finance|#greatmeadows|#security|#clerical|#ridgefieldpark
8c584198-1679-4bd8-ab14-67b7699aa30b,2015-07-26 20:15:00,43620,-74.3756571111;42.68767,360370.84,3,9,#job|#albany|#hiring|#careerarc|#jobs|#sales|#retail|#veterans|#labor|#security|#rochester
ec9686d3-092e-4ea0-bb8b-186e95d8bbc6,2015-07-27 21:41:00,6660,-73.9744653611;40.8759555833,32941.24,4,36,#thebachelorette|#afterthefinalrose|#finalrose|#teamnotalf|#jealousy|#teamkaitlyn|#firehotquotes|#badchoicekaitlyn|#mcvet|#theotherguy|#dickinabox|#isthatamasonjar|#teamnick|#mcdreamy|#facetiming
d47bfcbc-4a28-434e-8ed3-2cc672465f0b,2015-07-27 21:21:00,12300,-73.9929411724;40.7505717931,32.91,3,29,#u2|#u2ietour|#msg|#u2msg|#monicasininstagram
faa12aff-d392-47cc-9be1-6d5ad532742c,2015-07-27 12:18:00,34740,-74.00609428;40.67633468,48987.89,4,25,#job|#hiring|#careerarc|#jobs|#skilledtrade|#nonprofit|#retail|#facilitiesmgmt|#veterans|#jackson|#bronx|#marketing|#tintonfalls|#queens|#bayside|#nowhiring
f10b3be8-07ac-425d-9568-c16021903398,2015-07-27 10:23:00,59520,-73.975856;40.683063,0.0,3,20,#thepinkprinttour|#nickiminaj|#yadig|#believethat|#lilwayne|#barclays|#bk|#weezy|#youngmulababy|#specialguest|#romansrevenge|#tunechi|#instavideo|#pt4|#milli|#lookingassniccas|#loyal|#meekmill|#yanotfuckingwime|#pt3|#badforyou|#shekilledthis|#yanotfuckingwitme|#glory
7f4d6d13-126d-4f3e-8912-b43c73a8ec90,2015-07-28 14:41:00,23040,-74.2521763103;40.7966355862,93645.26,5,29,#job|#hiring|#jobs|#it|#careerarc|#veterans|#nursing|#nonprofit|#ewing|#manhattan|#projectmgmt|#warren|#cooperstown|#woodbridge|#database|#johnson|#richmondhill|#nettempsjobs|#lawrencetownship|#clerical|#bayside|#hoboken
e1ef9527-8262-456c-80c8-63dd6b0068c7,2015-07-29 16:19:00,24240,-74.1578764167;41.2047638333,105821.23,4,12,#job|#hiring|#careerarc|#sales|#woodbridge|#jobs|#hoosick|#retail|#blairstown|#webdesign
