eventId,date,duration,position,radius,userNumber,tweetsNumber,importantHashtags
1aaa8b01-3ceb-4115-ab22-ffa71537eb16,2015-07-21 13:54:00,37620,-74.193191994;40.8231592798,324207.73,100,168,#jobs|#tweetmyjobs|#sales|#it|#art|#retail|#woodbridge|#nettempsjobs|#education|#nursing|#construction|#clerical|#nonprofit|#internship|#businessmgmt|#jackson|#accounting|#hospitality|#skilledtrade|#manufacturing|#labor|#virtualnjcity|#hackensack|#rhlegaljobs|#music|#recruiting|#opensource|#nowhiring|#pharmaceutical|#virtualnycity|#utilities|#hoboken|#productmgmt|#phelps|#actuarial|#any|#woolwichtownship|#ewing|#workathome|#clyde|#database|#automotive|#hoosick|#customerservice|#warren|#skillman|#bayside|#marketing|#healthcare|#cfgjobs|#macchiato|#projectmgmt|#teaneck|#airlines|#newjersey|#cooperstown|#friday|#rhmrjobs|#government|#exhibition|#jeffersonville|#mood|#rogallery|#insurance|#rickchaudhury|#howell|#engineering|#bergenhudsoncounty|#purchasing|#weehawken|#design|#richmondhill|#inc|#streetart|#dresden|#yardville|#voorheesville|#definedbenefits|#latteart|#mayslanding|#auctioneer|#tintonfalls|#happyhour|#floralpark|#kellyservices|#lxkcareers|#typography|#woodside|#laguardia|#kellyjobs|#goddess|#underwriting|#coffee|#urbanart|#qa|#lawrencetownship|#folsom|#greene|#media|#cambridge|#morristown|#northernnewjersey|#accountemps|#hamilton|#f1stravel|#barista|#banking|#pilesgrove|#monroetownship|#aerospace|#letscommune|#longisland|#graffiti|#thehallsouthbeach|#ripchinx|#flushing|#auction|#generalscience|#lunch|#legal|#rockawaypark|#onlineauction|#ridgefield|#travel|#on|#microsoft|#spraypaint|#yourenotyouwhenyourehungry|#badass|#englewoodcliffs|#hudson|#dayton|#socialmedia|#fortlee|#insideconde|#artist|#artauction|#security|#tags|#ridgefieldpark
7111d1db-1d26-4efd-b9fa-2b3687f63391,2015-07-21 11:20:00,31140,-77.5098358209;43.1326443284,389038.62,36,67,#rochester|#jobs|#tweetmyjobs|#engineering|#nursing|#healthcare|#customerservice|#accounting|#sales|#businessmgmt|#kellyservices|#it|#kellyjobs|#aerospace|#nettempsjobs|#retail|#veterans|#supplychain|#marketing|#clerical|#manufacturing|#hackensack|#construction|#transportation|#art|#recruiting|#finance|#government|#hermano|#energy|#timmins|#amigas|#banking|#education|#microsoft|#hospitality|#casa|#home|#cfgjobs|#skilledtrade|#primo|#hr|#security
0e211e3b-9c66-472b-bfbf-9e4acb157775,2015-07-21 16:34:00,34320,-73.9603969844;40.8115651563,61423.35,47,64,#bronx|#tweetmyjobs|#latergram|#retail|#sunset|#veterans|#jobs|#centralpark|#hospitality|#jackson|#2015|#utilities|#philitophilly|#healthwelfare|#greenwichvillage|#streetart|#arizona|#beautiful|#physician|#mondaynight|#mambo|#astoria|#cecnewyork|#salsa|#graffiti|#dance|#pier45|#dancing|#roadtrip|#latindance|#4train|#coogi|#run|#pie|#squad|#manahawkin|#nature|#agenda|#nyc2015|#wns|#happier|#slice|#bigapple|#setup|#river|#indiana|#animals|#finance|#clichetakemebacktag|#bongo|#sheepsheadbay|#coogiboys|#tophat|#cakeshop|#sightsofny|#aluass|#roadtrip2015|#str|#badbitch|#travelingtuesday|#guster|#police|#ispy|#agendanyc|#xoxo|#nysdotgram|#automotive|#skilledtrade|#ryanmiller|#sales|#jacquelinekennedyonassis|#wow|#uptown|#soundcheck|#church|#agendashow|#cloudy|#thatonebuilding|#weather|#clouds|#sky|#kugey|#dasit|#states|#albany|#belvederecastle|#ilovepizza|#bronxriver|#loves|#nofilter|#cat|#manhattanbeach|#apostlesuws|#mondays|#currentmood|#travel|#reservoir|#adamgardner|#lowlifes|#morningrun|#hudson|#godinthecity|#onthe2s|#healthcare|#westvillage|#businessmgmt|#citylife|#sunrise|#realnumbers|#security|#trip|#neilyoung|#jewels|#nypd
a2d95888-0545-44f8-a664-79d9c0710f47,2015-07-21 14:47:00,43320,-73.9971013571;42.2358168036,182973.47,37,56,#albany|#jobs|#veterans|#tweetmyjobs|#it|#retail|#engineering|#cfgjobs|#hospitality|#businessmgmt|#healthcare|#transportation|#accounting|#rhmrjobs|#marketing|#banking|#skilledtrade|#nursing|#sales|#veteranjobs|#insurance|#green|#realestate|#projectmgmt|#recruiting|#opensource|#legal|#pharmaceutical|#ramen|#northbergen|#writing|#finance|#traffic|#investmentbanking|#supplychain|#taberg|#rue21|#diversity|#manufacturing|#owneroperator|#thinkgreen|#allstatejobs|#parttime|#labor|#clerical
1301e942-af86-49ec-9c45-06d4d29e6626,2015-07-21 11:32:00,24240,-74.0846673519;40.7263180556,46371.12,34,54,#jerseycity|#jobs|#tweetmyjobs|#it|#veterans|#accounting|#transportation|#facilitiesmgmt|#finance|#businessmgmt|#insurance|#retail|#customerservice|#investmentbanking|#simon|#purchasing|#socialsciences|#sales|#labor|#clerical|#construction|#milspouse|#art|#projectmgmt|#warren|#pharmaceutical|#newjersey|#webdesign|#rhmrjobs|#hospitality|#bythehudson|#nursing|#education|#database|#productmgmt|#spotted|#duck|#parttime
3868200d-ed7d-4d51-8d8d-d1b2512f4a2f,2015-07-21 18:51:00,24000,-73.9496690417;40.7832309167,176838.38,39,48,#art|#fashion|#artwork|#nycart|#pucci|#nycartist|#woolmarkprize|#now|#artist|#summerofbyron|#menswear|#exhibition|#world|#museum|#here|#ralphpucci|#style|#dance|#capital|#hannaliden|#improv|#stpetersburg|#interpretive|#vintage|#tuesday|#summerofart|#siasummer|#bigbagel|#me|#furniture|#soho|#stylist|#fit|#cool|#luxury|#vladanikiforova|#intern|#everything|#letterj|#beautique|#wallofart|#tanster|#photo|#ps1|#qotd|#sneaker|#photoshoot|#sister|#rosariop|#midtown|#stunning|#photooftheday|#sketch|#nailswag|#moda|#owo|#nailstagtam|#officewall|#nailed|#jgoldcrown|#prints|#design|#nailsdesign|#chelsea|#newarrival|#instagood|#sculpture|#killing|#beautiquepeople|#statue|#nailstech|#bloggerslife|#streetart|#oneofakind|#wtc|#sneakerculture|#petportrait|#mensfashion|#vsco|#fitmuseum|#malemodel|#ladies|#beautiquedining|#harlem|#rainbowfashionweek|#danspapers|#craftwomanship|#contemporaryart|#designer|#redshoetuesday|#paintings|#instagramnyc|#hamptons|#southampton|#nailpics|#quotes|#model|#conscious|#family|#dope|#beautiful|#lounge|#kunst|#sothebys|#beautiquecocktails|#usa|#avettbrothers|#streetstyle|#cute|#watercolor|#kids|#vscocam|#messqueen|#1nspired|#merrick|#mallorca|#nypix|#fun|#fbloggers|#comtemporaryart|#lovewall|#stylish|#lovely|#bleedinghearts|#malefashion|#milkstudios|#urban|#moma|#sadgirl|#nails|#photographer|#artgallery|#cadet|#blog|#1wtc|#men|#westvillage|#beauty|#photogtapher|#hair|#seoul|#momaps1
1aafbf9d-25f9-4be8-bd5b-7e45b8d8bf6d,2015-07-21 20:27:00,21780,-74.0537638182;40.8777653409,388616.21,33,44,#photo|#queens|#fashion|#art|#bedstuysuperkids|#soccer|#photographer|#museum|#liebegirls|#barrysbeautybar|#eua|#eljimador|#sangria|#smiles|#creative|#usa|#sky|#psari|#nuevayork|#openbar|#photowalking|#peru|#catering|#life|#malemodel|#muhammadali|#seafood|#photolife|#moma|#streetphotography|#model|#wtc|#eltonleonard|#brothers|#warriors|#bar|#moon|#lobster|#leatha|#park|#fresh|#seafoodtuesdays|#astoria|#boxing|#jackdaniels|#elbarrio|#mensfashion|#fiesta|#sports|#remymartin|#tonight|#legends|#lic|#instacollage|#classof2010|#culinary|#collage|#martialarts|#amazing|#elmhurst|#buffet|#prima|#liebeskindus|#dinner|#liebelife|#juansanchez|#streetart|#freedomtower|#cheers|#happy|#novayork|#art2015|#kicks|#sunset
9fc36e4e-53b3-47b6-b447-654679c2729d,2015-07-21 17:49:00,38760,-73.9754313056;40.7684605278,3059.66,26,36,#centralpark|#usa|#305roaming|#nycpics|#holidays|#green|#johnlennon|#picbyme|#myown|#travel|#tellittoanothersucker|#imagine|#hope|#vacation|#walking|#bethesdsterraca|#sevenwanders|#outdoorparty|#stylisheyez|#afterwords|#city|#house|#edsheeran|#beautiful|#center|#nature|#peace|#tango|#time|#sunny|#trip|#flowers|#me|#relax|#closeup|#littleboy|#makeup|#strawberryfields|#techno|#hbdcentralpark|#bicycle|#madametussauds|#vanity|#birding|#cute|#guy|#teamcumulus|#met|#squriel|#brotherhood|#international|#nosofa|#bird|#day3|#pigeons|#timessquare|#funkymusic|#mua|#bike|#beauty|#manhattansight|#eidmubarak|#photography|#wildlifephotography|#us|#simplethings|#empire|#portrait|#thedumpbuttons|#kit|#playa|#justmarried|#brothers|#class|#awesome|#angel|#friends|#90s|#nars|#80s|#polarsteps
81716cb4-c2dd-469c-a7dd-839e38de7f91,2015-07-21 18:31:00,30840,-73.9453268286;40.7423725429,20069.1,26,35,#vscocam|#queens|#vsco|#vsconyc|#photogrid|#vscousa|#jobs|#traffic|#like|#amnh|#seafoodtuesdays|#astoria|#made|#portrait|#floloungebar|#memorial|#fitfam|#instafood|#summertimenyc|#instayum|#excited|#instacool|#cityseeing|#flolounge|#astoryofsummer|#laugh|#instagram|#ootd|#happy|#tweetmyjobs|#nyu|#bellblvd|#cajun|#fountain|#vibes|#veterans|#instasize|#socialsciences|#startup|#longislandcity|#lic|#ps70|#beauty|#friday|#skilledtrade|#cookies|#goodbivibes|#follow|#schoolyard|#hipsterception|#midtowntunnel|#intentmediaawards|#goodtimes|#clambake|#chriscross|#foodphotography|#bayside|#silvercupstudios|#oreo
6e936967-549e-44fb-89a5-8f3e88a9bf0d,2015-07-21 21:01:00,13020,-73.9132328966;40.8017204483,46063.3,28,29,#yankees|#bronx|#music|#catchgreatness|#baseball|#nyy|#yankeestadium|#mlb|#orioles|#bossseats|#twoshas|#videos|#karaoke|#karaoketuesdays|#streetartnyc|#underground|#live|#streetmusic|#jazzclub|#tastethechange|#kish|#backtostay|#boozebuddy|#arod|#streetartist|#norahjones|#life|#is|#dayoff|#listen|#unsigned|#model|#bombers|#memories|#shakimono|#yankeeswin|#lovingit|#nowplaying|#ad|#baltimoresucks|#marijuana|#lifeisgood|#budlightlime|#beer|#yankeesstadium|#vscocam|#shotbyboa|#playlist|#food|#bluenote|#fun|#beauty|#np|#concerts|#livemusic|#basseball|#interpol|#celebratebrooklyn|#onatuesday|#collaboration|#drinks|#bless
e353a580-f9e2-461d-8e7e-232ad8860fa7,2015-07-21 10:04:00,15240,-74.0199690455;40.7503762273,8783.04,20,22,#jerseycity|#jobs|#fashion|#photo|#nettempsjobs|#retail|#mensfashion|#model|#lifestyle|#new|#tweetmyjobs|#photographer|#malemodel|#exciting|#clothing|#thenewschool|#culture|#style|#opensource|#legal|#nyfwm|#finance|#black|#taliaorange|#kellyservices|#exhibition|#it|#kellyjobs|#wall|#newyorkfashion|#dapper|#125th|#china|#jacket|#boys|#harlem|#businessmgmt|#hsn|#luxury|#memory|#girls|#catchny|#us|#sales|#unitedstates|#qa|#slimfit|#sportcoats|#fitted|#losangeles|#gentleman|#throughthelookingglass|#phototag|#media|#freedsisfashion
4fbe7aae-c5a2-42ad-b79b-7075ac241b00,2015-07-21 21:07:00,8220,-73.86734945;40.79981765,171047.6,20,20,#sunset|#usa|#statueofliberty|#sky|#beauty|#nofilter|#batteryplace|#goldenhour|#cat|#ilikethissortofthing|#america|#intrepid|#watcher|#ladyliberty|#hues|#phnomkoulen|#cloudporn|#lidoworld|#starbucks|#travel|#downtown|#palisadessill|#swag|#naturesgift|#missing|#skydiving|#cambodia|#instasize|#lost|#bk|#painting|#brother|#happiness|#hudson|#rooftop|#wordsarecheap|#skyline|#findlila|#gingous|#broda|#sea|#westside|#cottoncandysky|#photography|#snapchat|#americanairlines|#palisades|#lido|#dramatic|#parkslope|#funny|#observers|#surreal|#crownheights|#iloveny|#thunderstorm
51d1832d-2396-447b-a567-8428e6e14fbf,2015-07-21 15:56:00,28380,-74.1624766923;41.3524403077,301957.73,8,13,#music|#saintrose|#college|#strosepce|#strose|#tweetmyjobs|#hastypage|#band|#greenlife|#taylorswift|#beethoven|#liebegirls|#makes|#liebelife|#smile|#grownyc|#happy|#me|#goinguponatuesday|#plants|#vinyl|#always|#a|#boweryballroom|#food|#elleking|#liebeskindus|#work|#with|#hp|#tswizzle
969a6d37-e19e-4358-8fc3-56366b884f2e,2015-07-21 21:32:00,8760,-73.98572475;40.7601185,297.35,11,12,#broadway|#findingneverland|#chicago|#wicked|#vacaciones|#museomadametussauds|#nuevayork|#travelling|#gershwintheater|#hemingway|#viagem|#loureed|#yellowcab|#theater|#funhome|#travel|#querodenovo|#wickedthemusical|#aggtm|#musical|#brandyonbroadway|#nybroadwayplay|#luntfontannetheatre|#playbill|#broadwaymusical|#peterpan|#timessquare|#novayork|#instasize|#nypd|#summer2015
215c5948-c745-4b4c-9e7d-1618f1ed1675,2015-07-21 18:51:00,4200,-73.9876411818;40.760233,691.45,10,11,#broadway|#kinkyboots|#theatre|#family|#thephatomoftheopera|#someculture|#awesomeniece|#friends
594d5d23-d14d-49dd-a53b-b4a3fb017fd1,2015-07-21 07:59:00,20940,-73.93957425;42.209579,79623.06,8,8,#albany|#jobs|#tweetmyjobs|#cfgjobs|#madison|#traffic|#hospitality|#manufacturing|#djembe|#jefferson|#projectmgmt|#investmentbanking|#healthcare|#sabali|#conga|#banking
3856f48e-6faf-477d-8751-4551929053e5,2015-07-21 21:22:00,7200,-74.0741935;40.87679,103476.95,8,8,#selfie|#fun|#lol|#thefryingpan|#relaxing|#chill|#week28|#selstagram|#boat|#timessquare|#mybed|#beat|#friends|#home|#vrgt15
9eda1650-14f2-4cc2-8091-c34e3d3b0bd9,2015-07-21 18:59:00,4800,-73.926492375;40.82936,8.53,8,8,#yankees|#orioles|#mlb|#baseball|#boozebuddy|#suite|#myforevercaptain|#missyoujeter
f60b1d21-3481-4dfe-bcf0-1a0753a75441,2015-07-21 18:59:00,21300,-73.9589665714;40.7563938571,3889.91,7,7,#selfie|#stripes|#snapchat|#fun|#ripped|#laughs|#beastmode|#newstylehustle|#hustle|#godiva|#olivegreen|#gym|#dothehustle|#iphone|#militarygreen|#fitness|#equinox|#fit|#physique|#dimples
acd4bae8-e0f2-4ad9-9e89-77ad25396bf8,2015-07-21 09:09:00,15480,-73.9989892;40.7356526,1055.32,5,5,#selfie|#photography|#beards|#prettymakeup|#curlyhair|#madisonsquaregarden|#audition|#beardo|#smokinaces|#beard|#poster|#holidays
22312cc8-9f6a-45b3-ae5e-932b6faf5533,2015-07-21 11:30:00,9960,-73.97777775;40.70637575,1941.53,4,4,#latergram|#filmisnotdead|#faileart|#pompommirror|#neon|#foosball|#table|#soccer|#princecharles|#bitforms|#btheradshootsfilm|#danielrozin|#35mm|#film|#whereistonyb
3574cf58-aeda-4c72-8e63-a8eee73f0ec5,2015-07-21 22:12:00,8340,-73.985615;40.7475735,908.4,4,4,#latergram|#iphone5|#flyclique|#takenbyiphone5|#les|#nevercoast|#johnnychimpo|#saturday|#lifestyle|#funtime|#supertroopers|#iphoneography
11169641-03f5-44c9-9932-ab11971aa856,2015-07-21 09:11:00,15360,-74.0214146667;40.7323153333,2841.5,3,3,#usa|#elezioni|#followme|#repubblicani|#instafollow|#morning|#follow|#trump
a1be5ad3-f305-4188-8134-1dabfeeff1ef,2015-07-22 11:58:00,29700,-74.3983481765;41.0528020882,390317.68,92,136,#jobs|#tweetmyjobs|#retail|#education|#it|#labor|#virtualnjcity|#internship|#hospitality|#marketing|#williamson|#nettempsjobs|#facilitiesmgmt|#construction|#legal|#hoboken|#accounting|#nonprofit|#recruiting|#nursing|#clay|#skilledtrade|#warren|#banking|#transportation|#veterans|#businessmgmt|#rhlegaljobs|#edgewater|#kellyservices|#manahawkin|#oswego|#government|#actuarial|#opensource|#teaneck|#utilities|#kellyjobs|#diversity|#pittstown|#qa|#hr|#virtualnycity|#gopenskecareers|#pharmaceutical|#mahwah|#ridgefield|#kewgardens|#generalscience|#engineering|#supplychain|#security|#clerical|#longisland|#cooperstown|#middletownship|#bogota|#porthenry|#jeffersonville|#midtown|#phelps|#howell|#finance|#conklin|#bilingual|#richmondhill|#infosec|#wm|#art|#interpreter|#rochester|#auburn|#glendale|#laguardia|#restaurantjobs|#underwriting|#woodstock|#capemaycourthouse|#kreativly|#queens|#architecture|#media|#healthcare|#fairfield|#retsof|#formarion|#customerservice|#airlines|#investmentbanking|#albany|#madison|#rockaway|#aerospace|#waretown|#millerton|#skillman|#bayside|#titusville|#flushing|#hackensack|#wmarchitecture|#concept|#green|#eastsyracuse|#arquitectura|#clinton|#microsoft|#database|#southhampton|#manufacturing|#queensvillage|#socialmedia|#cfgjobs|#fortlee|#brickdetail|#jefferson|#westchester
1ca9515e-11ae-4938-b2d7-058739fd23b2,2015-07-22 10:04:00,31260,-73.9612534887;40.8095521805,310188.44,110,133,#goodmorning|#travel|#fashion|#vscocam|#usa|#latergram|#beach|#beautiful|#nofilter|#style|#vsco|#instagood|#centralpark|#sunset|#humpday|#bags|#sun|#photooftheday|#hamptons|#sunrise|#museum|#stylish|#america|#topoftherock|#goals|#2015|#yoga|#happy|#relax|#appbreeze|#handmade|#vibes|#nyfwm|#beauty|#ikea|#sevenwanders|#client|#moda|#harlem|#orsini|#vacation|#cute|#trip|#fun|#interiordesign|#31isnotsobad|#bellaangelestravels|#inspiration|#summerbreak2015|#summerofbyron|#rockawaybeach|#nyu|#summertime|#black|#traveling|#hiking|#birthdayweekend|#handbags|#vintage|#landscape|#clouds|#green|#birthday|#itsnotasauna|#grass|#maiacbinnyc|#meatpacking|#feelgoodwednesdays|#nature|#toronto|#pepsicola|#roca|#nycwonders|#psychadelic|#chic|#blueskys|#kisses|#wanderlust|#beautifulhearth|#fitgirl|#hendrixthehusky|#astoriany|#rainpryor|#upstate|#tattoo|#todayisagreatday|#christianliaigre|#charming|#whitelight|#sealife|#day|#mylove|#avenue|#daddyslittlegirl|#coffee|#fw15|#ladies|#gramercy|#sexy|#albionthornelaunch|#hugoboss|#gucci|#shashiatlarge|#travelguide|#uptown|#workouttime|#bikinis|#mustache|#windowswear|#diet|#tour|#palms|#unitednations|#redeye|#rockfeller|#lorenzoimperatori|#perfection|#park|#jacobriis|#paris|#buyingtrip|#mercerkitchen|#havana|#routine|#tfios|#foodporn|#selfie|#1967cam|#sand|#doublevision|#readytostartmyday|#fit|#vespa|#badass|#trendsonyourhands|#farebuzz|#traveladdict|#westvillage|#werq|#homme|#modelonduty|#workflow|#lv|#whitneymuseum|#mudd|#girl|#cigars|#windowdisplay|#like|#photoshoot|#women|#pretty|#englishbulldog|#buenosdias|#thewinstonlife|#excellent|#vacations2015|#beads|#traveladventures|#jfk|#sunshine|#work|#dannynyce|#suit|#worldwide|#iloveny|#jerseyshore|#swedishdesign|#comebackshantel|#curves|#city|#urban|#marlton|#enjoy|#smile|#ootd|#man|#gold|#stash|#french|#dapper|#aurorany|#xperia|#banjo|#hudson|#birthdaydinner|#coneyisland|#canada|#runnyc|#surf|#cruise|#seagull|#gaylife|#doglovers|#tobacco|#blessed|#feather|#xperiaz2|#origami|#equinox|#therealmvp|#jiggy|#model|#avettbrothers|#noenergy|#unplazany|#lushlife|#greatlawn|#visualmerchandising|#happywednesday|#flx|#statueofliberty|#visions|#bulldog|#staycation|#astoria|#blueskies|#weekendwednesday|#throwback|#stuntinonstregis|#midnight|#shoutout|#julio|#team|#warhol|#angles|#soccer|#empirestate|#ridedog|#bipolarvanity|#intern|#iphoneography|#uomo|#mycommute|#topshop|#hendrix|#production|#premierevision|#whitney|#hellsgate|#wework|#practice|#swag|#madamebulletsays|#vacay|#film|#quietclubbing|#beachbum|#bedstuysuperkids|#friedchickenandlatkes|#5|#again|#whyred|#leopard|#bryantpark|#5k|#accessories|#talkback|#therobertashow|#nycfinecigars|#pixlr|#elegant|#hibiscus|#queens|#xperiapictip|#hellsgatebridge|#xperiaphotography|#avantgarde|#wbw|#toryburch|#bird|#adks|#naturalhistorymuseum|#greatday|#blogger|#producer|#railroads|#musiclyrics|#stretch|#vscophile|#home|#taxi|#sea|#fourthofjuly|#beers|#nosleep|#lovely|#jfkairport|#gm|#goldenticket|#andywarhol|#5th|#queen|#selfcare|#railroad|#bag|#ontrack|#traveler|#hot|#hif2015|#happiness|#coffe|#topofthemountain|#pola|#nycsummer|#oxygen|#foodie|#un|#cityvibes|#travelgeek|#glassbeads|#kanye|#sensational|#ss16|#mixologist|#menswear|#luckygirl|#tbt|#nice|#collection|#np|#streetart|#bullys|#americandream|#shopping|#lategram|#imbeingfacetious|#design|#patience|#greenwichvillage|#nyfw|#morning|#life|#cinematography|#flowers|#lighting|#winstonchurchill|#event|#pr|#summeratthehamptons|#conference|#holidays|#kugey|#dead|#ocean|#neverstopexploring|#leather|#media|#red|#citylife|#flashbackfriday|#bullies|#mercerhotel|#evisuals|#summerday|#me|#texture|#rodriguezcalero|#dig|#storm|#beachday|#states|#xperiapic|#madison|#teamleo|#artshow|#juryduty|#ellisisland|#shades|#dog|#sportjacket|#gbfnyc|#unplaza|#tote|#holidyas|#genius|#adirondacks|#tb|#kitchen|#destinationbeershow|#ilovethetheatre|#explore|#girls|#sombreros|#seethenew|#sing
